Distance Travelled,Radial Distance,Deadend,Turned Head,Blocks,Radius,Timeout
6.267453605,6.162417154,FALSE,0,32,4,FALSE
1.630599233,1.630060921,TRUE,0,98,7,FALSE
3.552138378,3.296344163,TRUE,0,98,7,FALSE
4.144643076,3.82759617,TRUE,0,200,10,FALSE
7.617839547,5.526754079,TRUE,0,200,10,FALSE
3.96010592,3.496299192,TRUE,0,32,4,FALSE
2.808152544,2.788446675,TRUE,0,200,10,FALSE
4.663320526,4.662692489,TRUE,0,162,9,FALSE
2.654344841,2.504117987,TRUE,0,242,11,FALSE
16.52967211,15.69210519,FALSE,0,242,11,TRUE
4.930140094,4.892265303,FALSE,0,18,3,FALSE
1.630599233,1.630060921,TRUE,0,72,6,FALSE
10.69193453,10.53981526,FALSE,0,98,7,FALSE
2.946933836,2.909572126,TRUE,0,72,6,FALSE
11.2720903,10.5398639,FALSE,0,98,7,FALSE
9.174923125,9.068585446,FALSE,0,72,6,FALSE
10.25855459,9.083841213,FALSE,0,72,6,FALSE
8.148429561,7.31230086,TRUE,0,162,9,FALSE
14.61321416,13.33294293,FALSE,0,162,9,FALSE
1.911669229,1.670222098,TRUE,0,162,9,FALSE
2.036135766,1.978720164,TRUE,0,32,4,FALSE
7.388751169,6.22842262,FALSE,0,32,4,FALSE
3.517376792,2.845618047,TRUE,0,242,11,FALSE
6.32558336,6.212299775,FALSE,0,32,4,FALSE
10.65286553,9.629064644,TRUE,0,200,10,FALSE
5.850000354,5.53573461,TRUE,0,200,10,FALSE
1.965310279,1.923191619,TRUE,0,162,9,FALSE
2.808152544,2.788446675,TRUE,0,98,7,FALSE
4.742014665,4.60927853,TRUE,0,162,9,FALSE
7.696251195,7.579486112,FALSE,0,50,5,FALSE
4.825047974,4.787066303,FALSE,0,18,3,FALSE
3.911167587,3.847675234,TRUE,0,242,11,FALSE
15.67487649,15.27256311,FALSE,0,242,11,TRUE
3.309197468,3.068568315,TRUE,0,98,7,FALSE
6.563789621,6.167291135,FALSE,0,32,4,FALSE
3.933648499,3.501600784,TRUE,0,128,8,FALSE
4.828431647,4.651971885,TRUE,0,72,6,FALSE
