"Distance Travelled","Radial Distance","Deadend","Turned Head","Blocks","Radius","Timeout","Collided"
8.357770712030003,7.885111723930055,False,0,200,10,False,True
6.214394566239049,6.214354290891625,False,0,32,4,False,False
9.162143385293518,9.030840849464612,False,0,72,6,False,False
4.8503901184064215,4.8503585958801425,False,0,18,3,False,False
6.333388776091044,6.254337729884765,False,0,32,4,False,False
7.779448529574878,7.677324613514796,False,0,50,5,False,False
9.602476360121427,8.938778964955352,True,1,242,11,False,False
2.771679238775159,2.5578700731111366,True,7,72,6,False,False
4.782392435614348,4.747202762291114,False,0,18,3,False,False
3.8486101903316117,3.513927662393322,False,0,200,10,False,True
4.814408831839057,4.7764215406711665,False,0,18,3,False,False
6.570070568156296,6.1759583039150785,False,0,32,4,False,False
7.975169568808052,6.239745428839868,False,1,32,4,False,False
4.8503901184064215,4.8503585958801425,False,0,18,3,False,False
12.179688068474892,11.954579074865348,False,0,128,8,False,False
8.942583503579678,7.358063160316309,True,2,242,11,False,False
4.8503901184064215,4.8503585958801425,False,0,18,3,False,False
7.2549110527683816,6.196201427222779,False,1,32,4,False,False
6.1176056911244245,5.659220078301241,False,0,128,8,False,True
6.853675378526441,6.178811793019819,False,0,32,4,False,False
6.972106790547336,6.286678598353601,False,0,32,4,False,False
4.782392435614348,4.747202762291114,False,0,18,3,False,False
4.775215628925581,4.518685086666451,True,6,50,5,False,False
4.825583279798463,4.607650019312372,True,2,242,11,False,False
7.7400789895430595,7.043567441146455,False,0,128,8,False,True
8.904559176934072,6.3920491051484865,False,5,200,10,False,True
3.3091974675100655,3.0685683149495437,True,1,162,9,False,False
4.410361644260691,4.268009110065105,False,0,128,8,False,True
8.067558673882717,7.655233192129267,False,0,50,5,False,False
9.223537900999792,9.04808338874081,False,0,72,6,False,False
2.661420071118413,2.4620935013288485,False,5,162,9,False,True
4.8503901184064215,4.8503585958801425,False,0,18,3,False,False
4.793895371500553,4.664197590503807,False,5,200,10,False,True
4.782392435614348,4.747202762291114,False,0,18,3,False,False
8.376497006594331,7.307615042595926,False,0,162,9,False,True
6.913337391514777,3.038912025477588,True,3,128,8,False,False
4.762343212665323,4.628644092147736,True,1,162,9,False,False
4.723756428227427,4.263639443651379,False,0,162,9,False,True
6.314647374949698,6.248026401352162,False,0,32,4,False,False
6.465092366644793,6.246480842597342,False,0,32,4,False,False
9.132394803465877,9.071646857253194,False,0,72,6,False,False
4.8503901184064215,4.8503585958801425,False,0,18,3,False,False
12.013792393488101,3.1668679545085103,True,10,72,6,False,False
7.890524072493034,6.772685250757601,False,0,162,9,False,True
8.110694653019218,7.6204398563188755,False,0,50,5,False,False
5.08694138218471,4.737189059127175,False,0,72,6,False,True
6.474419222934811,6.28570197187722,False,0,32,4,False,False
12.12172712211647,3.5581501378196148,True,7,200,10,False,False
6.288570024112623,6.253937722481879,False,0,32,4,False,False
3.4626104944861558,3.3949816141152658,False,0,128,8,False,True
6.481494778299709,6.163693947014578,False,0,32,4,False,False
9.435126100831472,9.020294623624704,False,0,72,6,False,False
6.2966196061117765,6.261409848758355,False,0,32,4,False,False
3.860755866039467,3.546479721605746,False,0,162,9,False,True
5.781828935032518,4.421242241046874,True,4,98,7,False,False
3.591580946496722,3.468413943871988,True,3,50,5,False,False
6.471072790682599,6.244610095837791,False,0,32,4,False,False
2.661420071118413,2.4620935013288485,False,5,242,11,False,True
6.468526619131871,6.3950829608304804,False,0,200,10,False,True
6.6139785891878,6.1996385513271255,False,0,32,4,False,False
3.945857947523015,3.791273552302954,False,0,72,6,False,True
6.550560251176512,6.1167340955641025,True,8,128,8,False,False
6.326114040834626,6.285242986217707,False,0,32,4,False,False
14.912965825083996,8.306727063538519,True,9,200,10,False,False
4.825047973659557,4.787066302575961,False,0,18,3,False,False
9.291433718805052,8.59067246740327,True,4,200,10,False,False
12.595732135358636,8.513480582871125,True,2,200,10,False,False
8.117742401405335,7.643170507259555,False,0,50,5,False,False
6.529288279334209,6.2651114117398405,True,6,162,9,False,False
2.771679238775159,2.5578700731111366,True,7,50,5,False,False
11.729084814356117,10.500227572650727,False,0,98,7,False,False
3.114900706770603,2.8736710526877536,False,0,18,3,False,True
7.764322777788887,7.655311365007069,False,0,50,5,False,False
4.8503901184064215,4.8503585958801425,False,0,18,3,False,False
7.035430217469521,5.262488264749399,True,6,242,11,False,False
6.184728452021115,5.084326263817524,True,2,128,8,False,False
5.641543198850583,5.152396973822783,True,5,98,7,False,False
4.946296410765159,3.5473576625773395,True,7,162,9,False,False
4.8503901184064215,4.8503585958801425,False,0,18,3,False,False
3.8256696100299634,3.5263664716254524,False,0,128,8,False,True
23.717814771905626,10.508730774834575,False,3,98,7,False,False
9.512119495383573,5.695505665891735,False,1,200,10,False,True
4.0868283992459755,3.9850945701148923,True,3,242,11,False,False
10.978278973712296,7.606445318081908,True,4,162,9,False,False
5.496455196288442,3.4103969195778787,True,9,162,9,False,False
13.805642700970846,11.8763690135039,False,3,128,8,False,False
3.443990221840161,3.2218212465846965,True,2,200,10,False,False
8.587924601305794,7.249485808373044,True,1,200,10,False,False
10.196115831434605,6.986935550698627,False,1,128,8,False,True
8.24894525787113,7.626419633133871,False,0,50,5,False,False
3.87989787618726,3.52355073375372,False,5,128,8,False,True
3.9102454469850247,3.7527565096177384,False,0,50,5,False,True
3.563389215804769,3.2978072725450205,True,3,98,7,False,False
10.801403923211764,10.46470538753138,False,0,98,7,False,False
5.878121208770595,4.411278442001104,True,5,200,10,False,False
4.531935148164027,4.46500028064209,False,0,128,8,False,True
