Distance Travelled,Radial Distance,Deadend,Turned Head,Blocks,Radius,Timeout,Collided
6.396045505,4.896100546,TRUE,0,98,7,FALSE,FALSE
10.58645974,10.44094305,FALSE,0,98,7,FALSE,FALSE
9.744199833,9.046102656,FALSE,0,72,6,FALSE,FALSE
6.214394566,6.214354291,FALSE,0,32,4,FALSE,FALSE
2.471568911,2.357779072,TRUE,0,242,11,FALSE,FALSE
7.958299225,7.592665713,FALSE,0,50,5,FALSE,FALSE
2.577944528,2.577929386,TRUE,0,72,6,FALSE,FALSE
6.382286027,6.216391735,FALSE,0,32,4,FALSE,FALSE
6.214394566,6.214354291,FALSE,0,32,4,FALSE,FALSE
4.782392436,4.747202762,FALSE,0,18,3,FALSE,FALSE
4.033264628,3.734130795,TRUE,0,72,6,FALSE,FALSE
3.791508227,3.402164376,FALSE,0,98,7,FALSE,TRUE
4.939548891,4.802964509,FALSE,0,18,3,FALSE,FALSE
2.471568911,2.357779072,TRUE,0,72,6,FALSE,FALSE
7.735861218,7.633158521,FALSE,0,50,5,FALSE,FALSE
2.768417099,2.4115252,TRUE,0,162,9,FALSE,FALSE
6.021246339,5.614690807,FALSE,0,200,10,FALSE,TRUE
3.918372707,3.78059205,FALSE,0,32,4,FALSE,TRUE
5.382705278,4.776752553,FALSE,0,18,3,FALSE,FALSE
2.569206642,2.333435634,TRUE,0,242,11,FALSE,FALSE
5.049621685,4.781938478,FALSE,0,18,3,FALSE,FALSE
7.788583691,7.690610399,FALSE,0,50,5,FALSE,FALSE
7.877429991,6.678325041,TRUE,0,200,10,FALSE,FALSE
6.474419223,6.285701972,FALSE,0,32,4,FALSE,FALSE
5.311510968,4.653641391,TRUE,0,72,6,FALSE,FALSE
10.4777834,10.42078851,FALSE,0,98,7,FALSE,FALSE
7.289150239,6.963537318,FALSE,0,128,8,FALSE,TRUE
4.705702778,4.305745597,FALSE,0,128,8,FALSE,TRUE
1.965310279,1.923191619,TRUE,0,128,8,FALSE,FALSE
1.923890827,1.688926694,TRUE,0,200,10,FALSE,FALSE
2.577944528,2.577929386,TRUE,0,72,6,FALSE,FALSE
6.932117751,6.875979653,TRUE,0,200,10,FALSE,FALSE
5.104690702,4.663787835,TRUE,0,200,10,FALSE,FALSE
10.67854383,3.418950508,TRUE,0,98,7,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,162,9,FALSE,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE,FALSE
1.923890827,1.688926694,TRUE,0,72,6,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,98,7,FALSE,FALSE
4.549698231,4.119870224,TRUE,0,200,10,FALSE,FALSE
4.855957989,4.777647696,TRUE,0,162,9,FALSE,FALSE
7.57842518,7.578376107,FALSE,0,50,5,FALSE,FALSE
2.49704143,2.313825444,TRUE,0,242,11,FALSE,FALSE
4.825047974,4.787066303,FALSE,0,18,3,FALSE,FALSE
6.299724703,6.262775468,FALSE,0,32,4,FALSE,FALSE
4.814408832,4.776421541,FALSE,0,18,3,FALSE,FALSE
