Distance Travelled,Radial Distance,Deadend,Turned Head,Blocks,Radius,Timeout
9.20372213,9.134664312,FALSE,0,72,6,FALSE
4.047548504,3.786684667,TRUE,4,242,11,FALSE
4.81568148,4.587836062,TRUE,1,200,10,FALSE
2.241130485,2.096701566,TRUE,2,162,9,FALSE
5.835526832,5.722832544,TRUE,1,128,8,FALSE
9.763032261,7.61487407,FALSE,0,50,5,FALSE
3.585390295,3.275665504,TRUE,8,200,10,FALSE
15.79242229,14.75169682,FALSE,1,200,10,FALSE
2.5448225,2.308994151,TRUE,11,98,7,FALSE
4.741848815,3.53046404,TRUE,11,98,7,FALSE
6.436206719,6.305649673,FALSE,0,32,4,FALSE
7.502818072,6.409935963,TRUE,5,98,7,FALSE
5.234003217,4.466730142,TRUE,2,200,10,FALSE
2.428158459,2.406189204,TRUE,5,98,7,FALSE
2.045607421,2.015617205,TRUE,8,128,8,FALSE
7.820045112,7.662314297,FALSE,0,50,5,FALSE
10.53483763,10.45686137,FALSE,0,98,7,FALSE
3.242328465,2.94229125,TRUE,1,98,7,FALSE
4.738119927,4.461028236,TRUE,4,162,9,FALSE
4.782392436,4.747202762,FALSE,0,18,3,FALSE
4.819856066,4.815983979,FALSE,0,18,3,FALSE
12.88676054,7.743198646,TRUE,9,162,9,FALSE
12.48480465,11.92337714,FALSE,0,128,8,FALSE
1.718073121,1.676244911,TRUE,1,128,8,FALSE
1.895980029,1.543584423,FALSE,240,72,6,TRUE
1.723304582,1.632398233,TRUE,6,72,6,FALSE
3.872421734,3.466937972,FALSE,234,242,11,TRUE
8.424294589,7.67307741,FALSE,2,50,5,FALSE
12.09681836,11.96212623,FALSE,0,128,8,FALSE
1.952012899,1.923269107,TRUE,7,128,8,FALSE
9.344507137,7.707905259,FALSE,1,50,5,FALSE
12.03386026,11.96144393,FALSE,0,128,8,FALSE
8.039275461,7.589382483,FALSE,0,50,5,FALSE
4.797427729,4.256371941,FALSE,232,72,6,TRUE
9.830393719,9.113615462,FALSE,0,72,6,FALSE
6.451982861,6.223166341,FALSE,0,32,4,FALSE
7.727946956,7.646343765,FALSE,0,50,5,FALSE
13.44392433,11.88511758,FALSE,0,128,8,FALSE
3.069077919,2.341878186,FALSE,242,98,7,TRUE
4.882145887,4.823376478,FALSE,0,18,3,FALSE
2.467100056,2.330586665,TRUE,5,128,8,FALSE
3.177193122,2.935232806,TRUE,1,162,9,FALSE
2.265710789,2.244684379,TRUE,4,50,5,FALSE
6.22747919,6.190731428,FALSE,0,32,4,FALSE
9.350018264,7.608086536,FALSE,0,50,5,FALSE
4.426703548,4.211671224,TRUE,6,162,9,FALSE
2.80354989,2.576705499,TRUE,6,32,4,FALSE
7.382750979,6.293862797,TRUE,3,242,11,FALSE
1.92193733,1.536110289,FALSE,242,242,11,TRUE
6.987873305,6.156863224,FALSE,0,32,4,FALSE
3.974276836,3.93627842,TRUE,2,200,10,FALSE
17.42304344,10.54887551,FALSE,1,98,7,FALSE
2.746227462,2.682938012,TRUE,6,32,4,FALSE
5.383646388,5.169286444,TRUE,3,242,11,FALSE
4.765102797,4.426950704,TRUE,1,50,5,FALSE
5.510191369,3.443906034,TRUE,6,162,9,FALSE
2.687022402,2.490079114,TRUE,6,242,11,FALSE
12.15701939,11.81561844,FALSE,0,128,8,FALSE
1.795323484,1.744432102,TRUE,6,200,10,FALSE
16.29812819,14.76219508,FALSE,0,200,10,FALSE
4.928368467,4.633858786,TRUE,2,72,6,FALSE
3.195442579,2.939309526,TRUE,8,128,8,FALSE
3.270745293,2.866594903,FALSE,235,32,4,TRUE
4.183600592,3.549866069,TRUE,10,50,5,FALSE
4.825609524,4.822081193,FALSE,0,18,3,FALSE
14.27959467,13.2838294,FALSE,0,162,9,FALSE
2.034460914,1.979568541,TRUE,2,50,5,FALSE
13.38003291,5.098590662,TRUE,4,242,11,FALSE
8.498017443,7.701657945,FALSE,2,50,5,FALSE
5.120116347,4.182912223,FALSE,1,128,8,TRUE
1.895980029,1.543584423,FALSE,240,162,9,TRUE
6.273416772,6.23645834,FALSE,0,32,4,FALSE
4.92364052,4.879940092,FALSE,0,18,3,FALSE
6.228493868,5.652966021,TRUE,1,200,10,FALSE
3.60669836,2.55855206,TRUE,17,32,4,FALSE
10.65666049,10.52123627,FALSE,0,98,7,FALSE
7.754716977,7.713631158,FALSE,0,50,5,FALSE
6.615961488,6.203834306,FALSE,0,32,4,FALSE
4.115123875,3.766948386,FALSE,233,50,5,TRUE
20.33823969,13.27151197,FALSE,0,162,9,FALSE
2.913653067,2.320974753,TRUE,2,128,8,FALSE
4.819856066,4.815983979,FALSE,0,18,3,FALSE
6.274665663,6.207593053,FALSE,0,32,4,FALSE
4.325226568,3.456318553,FALSE,236,98,7,TRUE
9.96331539,6.355190681,TRUE,10,128,8,FALSE
6.298141033,6.258684051,FALSE,0,32,4,FALSE
1.880756571,1.554704941,FALSE,247,98,7,TRUE
4.170156033,3.566481462,TRUE,7,50,5,FALSE
3.878849957,3.659405265,TRUE,4,200,10,FALSE
8.508047271,7.849931497,FALSE,218,98,7,TRUE
7.085563525,6.288854543,FALSE,0,32,4,FALSE
13.88075971,11.88839478,FALSE,1,128,8,FALSE
4.269365209,3.774353689,TRUE,6,200,10,FALSE
5.316824602,4.874278038,FALSE,0,18,3,FALSE
7.409800273,6.527136559,TRUE,9,128,8,FALSE
15.55852401,3.495749845,TRUE,14,98,7,FALSE
4.781251431,4.761171549,TRUE,1,242,11,FALSE
8.131807149,7.64230045,FALSE,0,50,5,FALSE
16.98836749,16.0461211,FALSE,0,242,11,TRUE
